participante,metrica,preferencia_original,estrategia
1,Métrica 1,Interpretação C,Template
1,Métrica 2,Interpretação C,Template
1,Métrica 3,Interpretação C,Template
1,Métrica 4,Interpretação C,Template
1,Métrica 5,Interpretação C,Template
1,Métrica 6,Interpretação C,Template
1,Métrica 7,Interpretação C,Template
2,Métrica 1,Interpretação A,Zero-Shot
2,Métrica 2,Interpretação C,Template
2,Métrica 3,Interpretação C,Template
2,Métrica 4,Interpretação A,Zero-Shot
2,Métrica 5,Interpretação A,Zero-Shot
2,Métrica 6,Interpretação A,Zero-Shot
2,Métrica 7,Interpretação C,Template
3,Métrica 1,Interpretação C,Template
3,Métrica 2,Interpretação C,Template
3,Métrica 3,Interpretação C,Template
3,Métrica 4,Interpretação C,Template
3,Métrica 5,Interpretação C,Template
3,Métrica 6,Interpretação C,Template
3,Métrica 7,Interpretação C,Template
4,Métrica 1,Interpretação C,Template
4,Métrica 2,Interpretação C,Template
4,Métrica 3,Interpretação C,Template
4,Métrica 4,Interpretação C,Template
4,Métrica 5,Interpretação C,Template
4,Métrica 6,Interpretação C,Template
4,Métrica 7,Interpretação C,Template
5,Métrica 1,Interpretação B,Persona
5,Métrica 2,Interpretação B,Persona
5,Métrica 3,Interpretação B,Persona
5,Métrica 4,Interpretação B,Persona
5,Métrica 5,Interpretação B,Persona
5,Métrica 6,Interpretação B,Persona
5,Métrica 7,Interpretação B,Persona
6,Métrica 1,Interpretação C,Template
6,Métrica 2,Interpretação C,Template
6,Métrica 3,Interpretação C,Template
6,Métrica 4,Interpretação C,Template
6,Métrica 5,Interpretação C,Template
6,Métrica 6,Interpretação C,Template
6,Métrica 7,Interpretação C,Template
7,Métrica 1,Interpretação C,Template
7,Métrica 2,Interpretação C,Template
7,Métrica 3,Interpretação A,Zero-Shot
7,Métrica 4,Interpretação C,Template
7,Métrica 5,Interpretação A,Zero-Shot
7,Métrica 6,Interpretação A,Zero-Shot
7,Métrica 7,Interpretação B,Persona
8,Métrica 1,Interpretação C,Template
8,Métrica 2,Interpretação C,Template
8,Métrica 3,Interpretação C,Template
8,Métrica 4,Interpretação C,Template
8,Métrica 5,Interpretação C,Template
8,Métrica 6,Interpretação C,Template
8,Métrica 7,Interpretação C,Template
9,Métrica 1,Interpretação C,Template
9,Métrica 2,Interpretação C,Template
9,Métrica 3,Interpretação C,Template
9,Métrica 4,Interpretação C,Template
9,Métrica 5,Interpretação C,Template
9,Métrica 6,Interpretação C,Template
9,Métrica 7,Interpretação C,Template
10,Métrica 1,Interpretação B,Persona
10,Métrica 2,Interpretação C,Template
10,Métrica 3,Interpretação C,Template
10,Métrica 4,Interpretação C,Template
10,Métrica 5,Interpretação C,Template
10,Métrica 6,Interpretação A,Zero-Shot
10,Métrica 7,Interpretação C,Template
11,Métrica 1,Interpretação C,Template
11,Métrica 2,Interpretação C,Template
11,Métrica 3,Interpretação C,Template
11,Métrica 4,Interpretação C,Template
11,Métrica 5,Interpretação C,Template
11,Métrica 6,Interpretação C,Template
11,Métrica 7,Interpretação C,Template
12,Métrica 1,Interpretação C,Template
12,Métrica 2,Interpretação C,Template
12,Métrica 3,Interpretação C,Template
12,Métrica 4,Interpretação C,Template
12,Métrica 5,Interpretação C,Template
12,Métrica 6,Interpretação C,Template
12,Métrica 7,Interpretação C,Template
13,Métrica 1,Interpretação A,Zero-Shot
13,Métrica 2,Interpretação B,Persona
13,Métrica 3,Interpretação A,Zero-Shot
13,Métrica 4,Interpretação B,Persona
13,Métrica 5,Interpretação B,Persona
13,Métrica 6,Interpretação C,Template
13,Métrica 7,Interpretação B,Persona
14,Métrica 1,Interpretação C,Template
14,Métrica 2,Interpretação C,Template
14,Métrica 3,Interpretação C,Template
14,Métrica 4,Interpretação C,Template
14,Métrica 5,Interpretação C,Template
14,Métrica 6,Interpretação C,Template
14,Métrica 7,Interpretação C,Template
15,Métrica 1,Interpretação A,Zero-Shot
15,Métrica 2,Interpretação C,Template
15,Métrica 3,Interpretação C,Template
15,Métrica 4,Interpretação C,Template
15,Métrica 5,Interpretação B,Persona
15,Métrica 6,Interpretação A,Zero-Shot
15,Métrica 7,Interpretação C,Template
